Date,Close,High,Low,Open,Volume
2015-01-02,170.58958435058594,171.79367814662248,169.55158119602822,171.37847688479937,121465900
2015-01-05,167.5088348388672,169.70939694100863,167.20158989240133,169.54331893402545,169632600
2015-01-06,165.93106079101562,168.3392233667999,165.13386868532214,167.81606565147172,209151400
2015-01-07,167.99879455566406,168.3392627570827,166.81132459049292,167.2597365436006,125346700
2015-01-08,170.97991943359375,171.19583225581977,169.3938598269918,169.41045875874744,147217800
2015-01-09,169.6098175048828,171.41179054488646,168.99531470611578,171.3951789365564,158567300
2015-01-12,168.2810821533203,169.90037736326255,167.67489180198814,169.74259884160148,144396100
2015-01-13,167.80776977539062,170.63113372951398,166.50403152706838,169.50178561367687,214553300
2015-01-14,166.79464721679688,166.99394837900314,164.8930310606249,165.7898546132115,192991100
2015-01-15,165.2667694091797,167.74966568087137,165.15051352359154,167.43412123195563,176613900
2015-01-16,167.43408203125,167.5918605542384,164.8764404761802,165.05913006375218,211879600
2015-01-20,167.79115295410156,168.33922172950153,166.22169249432056,168.0734868065421,130991100
2015-01-21,168.63819885253906,169.11983398765003,166.8611374020666,167.3261609336383,122942700
2015-01-22,171.14599609375,171.27885089160938,168.01537446648058,169.39384594565314,174356000
2015-01-23,170.20762634277344,171.14598535977007,170.074758882308,170.8885499035164,117516800
2015-01-26,170.60621643066406,170.6975612260688,169.2775798358859,169.99172659879434,92009700
2015-01-27,168.3558807373047,169.50182807017404,167.5254778756308,168.5468698476259,134044600
2015-01-28,166.19680786132812,169.64297424657383,166.00581877441243,169.54332997008572,168514300
2015-01-29,167.73301696777344,167.9904397329673,164.98437386186288,166.39606834482106,173585400
2015-01-30,165.62384033203125,167.8825370217964,165.35811801785144,166.55390010901434,197729700
2015-02-02,167.6749267578125,167.76627156987308,164.30349351966183,166.12207762372358,163107000
2015-02-03,170.09970092773438,170.10801306486388,168.1980841533659,168.57176286691228,124212900
2015-02-04,169.45196533203125,170.54810292890306,168.99524133333466,169.33570946608478,134306700
2015-02-05,171.16256713867188,171.3120461844523,170.0415313145359,170.11626450195752,97953200
2015-02-06,170.6892547607422,172.09263716397587,170.1660970747955,171.52795681437757,125672000
2015-02-09,169.92529296875,170.76399505727906,169.51839112153613,170.04154882924846,87219000
2015-02-10,171.73558044433594,171.99300325411252,169.96681863776303,170.96331201500612,96164200
2015-02-11,171.8352508544922,172.2670638722587,170.9218153476472,171.56952853882618,91087800
2015-02-12,173.4877166748047,173.54585094120173,171.86843407362545,172.6324029759526,97545900
2015-02-13,174.20188903808594,174.25171117606632,173.35487467959817,173.61231017739755,93670400
2015-02-17,174.47592163085938,174.65031178289502,173.63721941815933,173.88633010543833,76968200
2015-02-18,174.49252319335938,174.5672563952429,173.8364979654315,174.10223291115915,80652900
2015-02-19,174.36798095703125,174.73336022593895,173.75349097836056,173.89465793754007,91462500
2015-02-20,175.41424560546875,175.48897879666274,173.32992701973706,173.95272895489586,140896400
2015-02-23,175.38934326171875,175.38934326171875,174.78314022494982,175.16513100605164,74411100
2015-02-24,175.8875732421875,176.08687442836379,175.01564797520626,175.3145934190016,72472300
2015-02-25,175.73812866210938,176.2446748194243,175.3976605117466,175.7630397296052,73061700
2015-02-26,175.53054809570312,175.8045825404924,174.9243449280142,175.6468039809827,72697900
2015-02-27,174.93260192871094,175.69657074417432,174.88277980371464,175.43083584961113,108076000
2015-03-02,176.03707885742188,176.0952004594888,174.98246384507556,175.03228598140151,87491400
2015-03-03,175.31459045410156,176.086871450403,174.45097733715266,175.60523642849265,110325800
2015-03-04,174.5755615234375,174.79147434157974,173.60399185461756,174.71672846633203,114497200
2015-03-05,174.7666015625,175.04893551014462,174.2600552818704,174.89945639784037,76873000
2015-03-06,172.3085174560547,174.334701568189,171.97636152692365,173.90288872356942,188128000
2015-03-09,173.02268981933594,173.37975686266645,172.35006572678242,172.50784425139392,89818900
2015-03-10,170.2158966064453,171.735534663607,170.17437394830588,171.65250201826444,157121300
2015-03-11,169.81735229492188,170.64775499563052,169.73430695647514,170.47336485326827,110145700
2015-03-12,171.9763946533203,172.04281571519147,170.39862200869325,170.44844414056607,93993500
2015-03-13,170.92181396484375,172.66565228431693,169.88381043982108,171.70239464301142,162410900
2015-03-16,173.20541381835938,173.29675863123194,170.94671723727524,171.65256467046686,136099200
2015-03-17,172.69052124023438,173.0724993205332,171.8767176117174,172.46630900209706,94510400
2015-03-18,174.7666015625,175.43922589051218,171.57784476641802,172.21725855333082,228808500
2015-03-19,173.9693145751953,174.77480597139018,173.57902440710353,174.35130528026195,117917300
2015-03-20,175.5049285888672,176.01373573536978,174.73754961385455,174.92105466521593,177715100
2015-03-23,175.16297912597656,176.088841096171,175.16297912597656,175.51330355692855,71784500
2015-03-24,174.17874145507812,175.49662318585436,174.1120111717793,175.0378731703627,77805300
2015-03-25,171.62632751464844,174.62078961866382,171.58463223103246,174.3872400294228,159521700
2015-03-26,171.2175750732422,172.13508742827125,170.2583419910594,170.9590032938477,153067200
2015-03-27,171.60971069335938,171.78486657890363,170.9090489686757,171.10090333713188,118939000
2015-03-30,173.70330810546875,174.00358804274632,172.6273124212665,172.6439854479199,96180400
2015-03-31,172.18524169921875,173.5782159563414,172.12686064447558,172.87755420690462,126768700
2015-04-01,171.5763397216797,172.1768996432944,170.5837472754692,172.15187737385233,137303600
2015-04-02,172.19349670410156,172.64391004955934,171.32601605192966,171.5095210849854,86900900
2015-04-06,173.3529815673828,173.87012539250313,171.16761871671198,171.3010665658552,114368200
2015-04-07,172.8942108154297,174.12868927369874,172.8608520365578,173.37799583782578,81236300
2015-04-08,173.47808837890625,173.9201653909475,172.7273949279874,173.11942740696747,89351900
2015-04-09,174.24542236328125,174.4789719419565,172.81910263119292,173.31122404858024,85548900
2015-04-10,175.1963653564453,175.23807337970146,174.2955382371217,174.49571638474836,72722900
2015-04-13,174.4038848876953,175.68842014858168,174.35384037343928,175.05448902801584,74436600
2015-04-14,174.7375946044922,174.92109970310165,173.57818296918722,174.20376506149208,75099900
2015-04-15,175.52163696289062,176.03044421187548,175.12126800995975,175.2046840419243,99529300
2015-04-16,175.47158813476562,175.98039537128213,174.98780316172542,175.1879939970349,68934900
2015-04-17,173.45306396484375,174.5207230819322,172.6689990165912,174.27883693263118,191113200
2015-04-20,175.03787231445312,175.37151100181563,174.29551541669645,174.37891872478704,92189500
2015-04-21,174.82933044433594,175.88030367706034,174.5290505596291,175.7218208590902,72559800
2015-04-22,175.68846130371094,175.8719663839666,174.24544292465518,175.17130483776364,78264600
2015-04-23,176.1305389404297,176.78114323569324,175.17130552125977,175.28808032483272,102585900
2015-04-24,176.5392303466797,176.80615143504272,176.08881691943958,176.5475795853773,61327400
